"HHID","parcelID","plotID","PID","female","cropID","a4aq7","a5aq8","yield","lnvalue","lnarea","year"
1021000710,1,1,102100071001,1,741,0.25,0,0,0,0.22314355131421,2011
1021001109,1,1,102100110901,1,640,1.5,45000,30000,10.7144399907278,0.916290731874155,2011
1021001109,1,1,102100110901,1,510,1.5,0,0,0,0.916290731874155,2011
1021001109,1,2,102100110901,1,630,1.5,0,0,0,0.916290731874155,2011
1021001109,1,2,102100110901,1,620,1.5,0,0,0,0.916290731874155,2011
1021001109,1,2,102100110901,1,741,1.5,0,0,0,0.916290731874155,2011
1021002013,1,1,102100201301,1,510,0.200000002980232,300000,1499999.97764826,12.6115410869661,0.182321559277481,2011
1021002013,1,2,102100201301,1,630,0.200000002980232,0,0,0,0.182321559277481,2011
1021002013,1,3,102100201301,1,130,0.200000002980232,100000,499999.99254942,11.5129354649202,0.182321559277481,2011
1021002013,1,4,102100201301,1,741,0.200000002980232,250000,1249999.98137355,12.4292201968364,0.182321559277481,2011
1021002210,1,1,102100221001,1,620,0.5,0,0,0,0.405465108108164,2011
1021002210,1,2,102100221001,1,630,0.25,0,0,0,0.22314355131421,2011
1021002210,2,3,102100221001,1,770,0.25,0,0,0,0.22314355131421,2011
1021002210,2,3,102100221001,1,741,0.25,0,0,0,0.22314355131421,2011
1021002610,1,1,102100261001,1,741,0.25,0,0,0,0.22314355131421,2011
1021002610,1,2,102100261001,1,620,0.25,0,0,0,0.22314355131421,2011
1033000302,1,1,103300030201,1,741,0.5,0,0,0,0.405465108108164,2011
1033000302,1,1,103300030201,1,810,0.5,187500,375000,12.1415394577117,0.405465108108164,2011
1033000302,1,2,103300030201,1,310,0.25,0,0,0,0.22314355131421,2011
1033000302,1,2,103300030201,1,630,0.25,0,0,0,0.22314355131421,2011
1033000302,1,3,103300030201,1,210,0.75,20000,26666.6666666667,9.90353755128617,0.559615787935423,2011
1033000302,1,3,103300030201,1,130,0.75,0,0,0,0.559615787935423,2011
1033000302,1,4,103300030201,1,620,0.25,0,0,0,0.22314355131421,2011
1033000302,1,5,103300030201,1,610,0.25,300000,1200000,12.6115410869661,0.22314355131421,2011
1033000302,2,6,103300030201,1,890,0.5,60000,120000,11.002116507732,0.405465108108164,2011
1033000302,2,7,103300030201,1,630,0.5,0,0,0,0.405465108108164,2011
1033000303,1,1,103300030301,1,741,1.25,0,0,0,0.810930216216329,2011
1033000303,1,1,103300030301,1,810,1.25,0,0,0,0.810930216216329,2011
1033000303,1,2,103300030301,1,630,0.75,60000,80000,11.002116507732,0.559615787935423,2011
1033000303,1,2,103300030301,1,130,0.75,20000,26666.6666666667,9.90353755128617,0.559615787935423,2011
1033000303,1,2,103300030301,1,210,0.75,0,0,0,0.559615787935423,2011
1033000304,1,1,103300030401,1,810,0.5,6000,12000,8.69968140098951,0.405465108108164,2011
1033000304,1,1,103300030401,1,741,0.5,0,0,0,0.405465108108164,2011
1033000304,1,2,103300030401,1,210,0.5,0,0,0,0.405465108108164,2011
1033000304,1,2,103300030401,1,610,0.5,0,0,0,0.405465108108164,2011
1033000304,2,3,103300030401,1,620,0.5,0,0,0,0.405465108108164,2011
1033000304,2,4,103300030401,1,130,0.5,80000,160000,11.2897944135779,0.405465108108164,2011
1033000308,1,1,103300030801,1,130,2,27000,13500,10.2036291813376,1.09861228866811,2011
1033000308,1,1,103300030801,1,310,2,30000,15000,10.3089859934221,1.09861228866811,2011
1033000308,1,1,103300030801,1,210,2,150000,75000,11.9183972397228,1.09861228866811,2011
1033000308,1,1,103300030801,1,620,2,0,0,0,1.09861228866811,2011
1033000505,1,1,103300050501,0,210,1.39999997615814,50000,35714.2863224964,10.8197982842103,0.875468727419792,2011
1033000505,1,1,103300050501,0,810,1.39999997615814,160000,114285.716231989,11.9829353441964,0.875468727419792,2011
1033000505,1,1,103300050501,0,630,1.39999997615814,0,0,0,0.875468727419792,2011
1033000505,1,1,103300050501,0,130,1.39999997615814,0,0,0,0.875468727419792,2011
1033000505,1,2,103300050502,1,310,0.400000005960464,0,0,0,0.336472240878687,2011
1033000509,1,1,103300050901,0,741,0.319999992847443,90000,281250.006286427,11.4075760603618,0.277631731179676,2011
1033000509,1,1,103300050901,0,630,0.319999992847443,0,0,0,0.277631731179676,2011
1033000509,1,1,103300050901,0,810,0.319999992847443,0,0,0,0.277631731179676,2011
1033000509,2,2,103300050901,0,620,0.800000011920929,0,0,0,0.587786671524857,2011
1033000509,2,2,103300050901,0,130,0.800000011920929,0,0,0,0.587786671524857,2011
1033000509,2,2,103300050901,0,210,0.800000011920929,0,0,0,0.587786671524857,2011
1033000509,2,2,103300050901,0,741,0.800000011920929,0,0,0,0.587786671524857,2011
1033000509,2,3,103300050901,0,450,1.20000004768372,12000,9999.99960263568,9.39274525863144,0.788457382038688,2011
1033000509,2,3,103300050901,0,640,1.20000004768372,0,0,0,0.788457382038688,2011
1033000510,1,1,103300051002,1,210,0.889999985694885,0,0,0,0.636576821502707,2011
1033000510,1,1,103300051002,1,130,0.889999985694885,0,0,0,0.636576821502707,2011
1033000510,1,1,103300051002,1,630,0.889999985694885,0,0,0,0.636576821502707,2011
1033000510,1,1,103300051002,1,640,0.889999985694885,0,0,0,0.636576821502707,2011
1033000510,1,1,103300051002,1,741,0.889999985694885,0,0,0,0.636576821502707,2011
1033000510,1,1,103300051002,1,620,0.889999985694885,0,0,0,0.636576821502707,2011
1033000510,2,2,103300051002,1,741,0.25,0,0,0,0.22314355131421,2011
1033000510,2,2,103300051002,1,810,0.25,20000,80000,9.90353755128617,0.22314355131421,2011
1033000510,3,3,103300051002,1,630,0.150000005960464,0,0,0,0.139761947558171,2011
1033000510,3,4,103300051002,1,620,0.100000001490116,0,0,0,0.0953101811589757,2011
1033000511,2,2,103300051101,0,130,1,200000,200000,12.2060776455177,0.693147180559945,2011
1033000511,2,2,103300051101,0,210,1,0,0,0,0.693147180559945,2011
1033000511,3,3,103300051102,1,210,0.5,0,0,0,0.405465108108164,2011
1033000511,3,3,103300051102,1,130,0.5,0,0,0,0.405465108108164,2011
1041000207,1,1,104100020702,1,210,0.25,0,0,0,0.22314355131421,2011
1041000207,1,1,104100020702,1,130,0.25,0,0,0,0.22314355131421,2011
1041000207,1,2,104100020702,1,640,0.25,50000,200000,10.8197982842103,0.22314355131421,2011
1041000207,1,3,104100020702,1,620,0.125,0,0,0,0.117783035656383,2011
1041000207,1,4,104100020702,1,630,0.125,0,0,0,0.117783035656383,2011
1041000209,1,1,104100020902,1,130,0.25,0,0,0,0.22314355131421,2011
1041000209,1,2,104100020902,1,210,0.25,0,0,0,0.22314355131421,2011
1041000209,1,3,104100020902,1,630,0.25,0,0,0,0.22314355131421,2011
1041000209,1,4,104100020902,1,620,0.25,10000,40000,9.21044036697652,0.22314355131421,2011
1041000210,1,1,104100021001,0,741,0.46000000834465,0,0,0,0.378436441435759,2011
1041000210,1,1,104100021001,0,620,0.46000000834465,0,0,0,0.378436441435759,2011
1041000210,1,2,104100021001,0,130,0.400000005960464,0,0,0,0.336472240878687,2011
1041000210,1,2,104100021001,0,210,0.400000005960464,160000,399999.994039536,11.9829353441964,0.336472240878687,2011
1043000402,1,1,104300040201,0,810,0.75,200000,266666.666666667,12.2060776455177,0.559615787935423,2011
1043000402,1,1,104300040201,0,741,0.75,0,0,0,0.559615787935423,2011
1043000402,1,1,104300040201,0,210,0.75,16000,21333.3333333333,9.68040649926887,0.559615787935423,2011
1043000402,1,1,104300040201,0,130,0.75,40000,53333.3333333333,10.5966597327836,0.559615787935423,2011
1043000402,1,1,104300040201,0,630,0.75,0,0,0,0.559615787935423,2011
1043000403,1,1,104300040303,1,130,0.5,0,0,0,0.405465108108164,2011
1043000403,1,1,104300040303,1,210,0.5,0,0,0,0.405465108108164,2011
1043000403,1,1,104300040303,1,630,0.5,0,0,0,0.405465108108164,2011
1043000403,1,2,104300040303,1,620,0.25,0,0,0,0.22314355131421,2011
1043000403,1,3,104300040303,1,741,1,300000,300000,12.6115410869661,0.693147180559945,2011
1043000403,1,3,104300040303,1,810,1,50000,50000,10.8197982842103,0.693147180559945,2011
1043000406,1,1,104300040601,1,210,0.100000001490116,0,0,0,0.0953101811589757,2011
1043000406,1,2,104300040601,1,130,0.300000011920929,0,0,0,0.262364273637436,2011
1043000406,1,2,104300040601,1,310,0.300000011920929,0,0,0,0.262364273637436,2011
1043000406,1,3,104300040601,1,741,0.200000002980232,0,0,0,0.182321559277481,2011
1043000406,1,3,104300040601,1,810,0.200000002980232,10000,49999.999254942,9.21044036697652,0.182321559277481,2011
1043000407,1,1,104300040702,1,741,0.5,0,0,0,0.405465108108164,2011
1043000407,1,1,104300040702,1,630,0.5,0,0,0,0.405465108108164,2011
1043000407,1,1,104300040702,1,130,0.5,0,0,0,0.405465108108164,2011
1043000407,1,2,104300040702,1,620,0.5,0,0,0,0.405465108108164,2011
1043000407,1,3,104300040702,1,210,0.25,0,0,0,0.22314355131421,2011
1043000407,1,3,104300040702,1,630,0.25,0,0,0,0.22314355131421,2011
1043000407,1,4,104300040702,1,741,0.25,0,0,0,0.22314355131421,2011
1043000407,1,4,104300040702,1,630,0.25,0,0,0,0.22314355131421,2011
1043000407,1,5,104300040702,1,741,0.5,0,0,0,0.405465108108164,2011
1043000407,1,6,104300040702,1,320,0.25,0,0,0,0.22314355131421,2011
1043000407,1,7,104300040702,1,630,0.25,0,0,0,0.22314355131421,2011
1043000407,1,7,104300040702,1,130,0.25,0,0,0,0.22314355131421,2011
1043000409,1,1,104300040902,1,630,0.5,0,0,0,0.405465108108164,2011
1043000409,2,2,104300040902,1,130,1,0,0,0,0.693147180559945,2011
1043000409,2,2,104300040902,1,210,1,0,0,0,0.693147180559945,2011
1043000409,3,5,104300040901,0,130,3,840000,280000,13.641158361295,1.38629436111989,2011
1043000410,1,1,104300041001,1,741,1,90000,90000,11.4075760603618,0.693147180559945,2011
1043000410,1,1,104300041001,1,742,1,0,0,0,0.693147180559945,2011
1043000410,1,1,104300041001,1,770,1,0,0,0,0.693147180559945,2011
1043000410,1,1,104300041001,1,750,1,0,0,0,0.693147180559945,2011
1043000410,1,1,104300041001,1,710,1,0,0,0,0.693147180559945,2011
1043000410,1,2,104300041001,1,620,2,1200000,600000,13.9978329480912,1.09861228866811,2011
1043000410,3,4,104300041001,1,210,1,0,0,0,0.693147180559945,2011
1043000410,3,4,104300041001,1,130,1,0,0,0,0.693147180559945,2011
1043000410,3,4,104300041001,1,630,1,0,0,0,0.693147180559945,2011
1043000410,4,5,104300041001,1,130,0.75,0,0,0,0.559615787935423,2011
1043000410,4,5,104300041001,1,310,0.75,0,0,0,0.559615787935423,2011
